Rapport de diffusion — 2026-06-28 (heures UTC)
268 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:29 BLOC_A_SERIE_DU_JOUR              0m10s      1m49s     +99s  ⚠️ TROU APRÈS  jingle avant message 01 voici le message du jour
11:13:18 BLOC_B_SERIE_DU_JOUR             11m54s     11m52s      -2s  ✅  Great & Marvelluos - Toronto HF
11:25:10 BLOC_B_SERIE_DU_JOUR              6m34s      6m31s      -3s  ✅  cantique  béni soit le dieu d israël
11:31:41 BLOC_B_SERIE_DU_JOUR              2m16s      2m13s      -3s  ✅  cantique  nous sommes le sel de la terre
11:33:54 BLOC_B_SERIE_DU_JOUR              0m05s      0m05s      +0s  ✅  jingle avant bible 05 poursuivons notre lecture
11:33:59 BLOC_B_SERIE_DU_JOUR              4m21s      4m19s      -2s  ✅  Sing Hallelujah - Abuja HF
11:38:18 BLOC_B_SERIE_DU_JOUR              8m25s      8m22s      -3s  ✅  The Mountains, Come and, Oh City - Ketu HF
11:46:40 BLOC_B_SERIE_DU_JOUR              6m19s      6m17s      -2s  ✅  Unto Him - CHF
11:52:57 BLOC_B_SERIE_DU_JOUR              6m54s      6m51s      -3s  ✅  There is no Lie (Imah Adegoke & Mary Umoh)
11:59:48 BLOC_A_SERIE_DU_JOUR             37m39s     37m37s      -2s  ✅  aps la moisson 20220219 5
12:37:25 BLOC_C_SERIE_DU_JOUR              0m10s      0m10s      +0s  ✅  jingle avant message 01 voici le message du jour
12:37:35 BLOC_C_SERIE_DU_JOUR             37m39s     37m37s      -2s  ✅  aps la moisson 20220219 5
13:15:12 BLOC_C_SERIE_DU_JOUR              4m46s      4m43s      -3s  ✅  Jérémie 33
13:19:55 BLOC_C_SERIE_DU_JOUR              4m35s      4m32s      -3s  ✅  Jérémie 34
13:24:27 BLOC_C_SERIE_DU_JOUR              3m51s      3m49s      -2s  ✅  Jérémie 35
13:28:16 BLOC_C_SERIE_DU_JOUR              5m57s      5m54s      -3s  ✅  Jérémie 36
13:34:10 BLOC_C_SERIE_DU_JOUR              3m31s      3m29s      -2s  ✅  Jérémie 37
13:37:39 BLOC_C_SERIE_DU_JOUR              5m07s      5m04s      -3s  ✅  Jérémie 38
13:42:43 BLOC_C_SERIE_DU_JOUR              3m09s      3m07s      -2s  ✅  Jérémie 39
13:45:50 BLOC_C_SERIE_DU_JOUR              3m46s      3m44s      -2s  ✅  Jérémie 40
13:49:34 BLOC_C_SERIE_DU_JOUR              3m43s      3m40s      -3s  ✅  Jérémie 41
13:53:14 BLOC_C_SERIE_DU_JOUR              3m58s      3m56s      -2s  ✅  Jérémie 42
13:57:10 BLOC_C_SERIE_DU_JOUR              2m34s      2m31s      -3s  ✅  Jérémie 43
13:59:41 BLOC_C_SERIE_DU_JOUR              6m43s      6m41s      -2s  ✅  Jérémie 44
14:06:22 BLOC_C_SERIE_DU_JOUR              1m02s      0m59s      -3s  ✅  Jérémie 45
14:07:21 BLOC_C_SERIE_DU_JOUR              5m09s      5m07s      -2s  ✅  Jérémie 46
14:12:28 BLOC_C_SERIE_DU_JOUR              7m09s      7m06s      -3s  ✅  There is A Mighty River Flowing - Ketu HF
14:19:34 BLOC_C_SERIE_DU_JOUR              8m10s      8m08s      -2s  ✅  Great and Marvellous - Ketu HF
14:27:42 BLOC_C_SERIE_DU_JOUR              8m58s      8m55s      -3s  ✅  El Elyon - Toronto & Winnipeg HF
14:36:37 BLOC_C_SERIE_DU_JOUR              9m23s      9m21s      -2s  ✅  Thou art Worthy Lord - PHF
14:45:58 BLOC_C_SERIE_DU_JOUR              4m44s      4m42s      -2s  ✅  Je veux vivre ton royaume
14:50:40 BLOC_C_SERIE_DU_JOUR              8m31s      8m28s      -3s  ✅  Holy Holy - Abuja HF
14:59:08 BLOC_C_SERIE_DU_JOUR              4m35s      4m33s      -2s  ✅  Ézéchiel 1
15:03:41 BLOC_C_SERIE_DU_JOUR              1m41s      1m39s      -2s  ✅  Ézéchiel 2
15:05:20 BLOC_C_SERIE_DU_JOUR              4m41s      4m39s      -2s  ✅  Ézéchiel 3
15:09:59 BLOC_C_SERIE_DU_JOUR              2m57s      2m54s      -3s  ✅  Ézéchiel 4
15:12:53 BLOC_C_SERIE_DU_JOUR              3m41s      3m38s      -3s  ✅  Ézéchiel 5
15:16:31 BLOC_C_SERIE_DU_JOUR              2m44s      2m42s      -2s  ✅  Ézéchiel 6
15:19:13 BLOC_C_SERIE_DU_JOUR              4m43s      4m40s      -3s  ✅  Ézéchiel 7
15:23:53 BLOC_C_SERIE_DU_JOUR              4m00s      3m57s      -3s  ✅  Ézéchiel 8
15:27:50 BLOC_C_SERIE_DU_JOUR              4m53s      4m50s      -3s  ✅  Cantique Jahweh, Tu es élevé au dessus de tout (1)
15:32:40 BLOC_C_SERIE_DU_JOUR              5m10s      5m08s      -2s  ✅  Igwe
15:37:48 BLOC_C_SERIE_DU_JOUR              3m12s      3m10s      -2s  ✅  esprit de dieu
15:40:58 BLOC_C_SERIE_DU_JOUR              8m21s      8m18s      -3s  ✅  In the Day of Your Power  - Winnipeg Fellowship
