====================================================================================================
MONITEUR RADIO — 2026-09-10 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 1 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 0 incident(s)
ATTENDU (sans effet à l'antenne, hors verdict) : 199 événement(s) serveur pendant la rotation (23h30-23h40) et le reset de minuit (00h00-00h03) · 1 titre(s) tronqué(s) par le redémarrage de minuit
SERVEUR : aucun incident hors fenêtres planifiées (ni crash, ni échec réseau, ni silence) ✅
   ↳ attendu, hors verdict : 00:01 🌐 échec réseau AzuraCast/Liquidsoap (×2) · 00:01 🔇 bascule sur jingle d'erreur (silence potentiel) (×2) · 23:32 🌐 échec réseau AzuraCast/Liquidsoap (×195)
RESET MINUIT : restart confirmé vers 00:02:09 · 3 contrôle(s) · file saine ✅
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:38  TROU 95s « jingle avant message 05 vous etes a lecoute de levangile du royaume »
          ↳ cause probable 00:01:33 : 🔇 bascule sur jingle d'erreur (silence potentiel)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-09-10 (heures UTC)
312 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
09:22:47 BLOC_B_SERIE_DU_JOUR              4m13s      4m10s      -3s  ✅  4 minutes
09:26:57 BLOC_B_SERIE_DU_JOUR              5m21s      5m19s      -2s  ✅  By the word of the lord - Ketu HF
09:32:16 BLOC_B_SERIE_DU_JOUR              9m43s      9m41s      -2s  ✅  Thy Throne Oh Lord - Ketu HF
09:41:57 BLOC_B_SERIE_DU_JOUR              8m58s      9m05s      +7s  ✅  El Elyon - Toronto & Winnipeg HF
09:51:02 BLOC_B_SERIE_DU_JOUR              2m59s      2m57s      -2s  ✅  Philémon 1
09:53:59 BLOC_B_SERIE_DU_JOUR              3m51s      3m48s      -3s  ✅  Jacques 2
09:57:47 BLOC_B_SERIE_DU_JOUR              2m56s      2m53s      -3s  ✅  Jacques 3
10:00:40 BLOC_B_SERIE_DU_JOUR              2m47s      2m44s      -3s  ✅  Jacques 4
10:03:24 BLOC_B_SERIE_DU_JOUR              3m28s      3m25s      -3s  ✅  Jacques 5
10:06:49 BLOC_B_SERIE_DU_JOUR              4m15s      4m13s      -2s  ✅  Philippiens 1
10:11:02 BLOC_B_SERIE_DU_JOUR              4m28s      4m25s      -3s  ✅  Philippiens 2
10:15:27 BLOC_B_SERIE_DU_JOUR              3m26s      3m24s      -2s  ✅  Philippiens 3
10:18:51 BLOC_B_SERIE_DU_JOUR              3m39s      3m36s      -3s  ✅  Philippiens 4
10:22:27 BLOC_B_SERIE_DU_JOUR              2m59s      2m57s      -2s  ✅  2 Timothée 1
10:25:24 BLOC_B_SERIE_DU_JOUR              3m52s      3m50s      -2s  ✅  2 Timothée 2
10:29:14 BLOC_B_SERIE_DU_JOUR              2m37s      2m33s      -4s  ✅  2 Timothée 3
10:31:47 BLOC_B_SERIE_DU_JOUR              3m09s      3m07s      -2s  ✅  2 Timothée 4
10:34:54 BLOC_B_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
10:35:04 BLOC_B_SERIE_DU_JOUR              7m09s      7m07s      -2s  ✅  My God Is Good - Winnipeg Fellowship
10:42:11 BLOC_B_SERIE_DU_JOUR              3m41s      3m39s      -2s  ✅  Adorons l'Éternel GAEL - JÉSUS EST SEIGNEUR -
10:45:50 BLOC_B_SERIE_DU_JOUR              4m18s      4m16s      -2s  ✅  You Are Worthy - Ketu HF
10:50:06 BLOC_B_SERIE_DU_JOUR              6m10s      6m07s      -3s  ✅  That I May Know Him - Toronto HF
10:56:13 BLOC_B_SERIE_DU_JOUR              4m19s      4m16s      -3s  ✅  I Know The Blood - PHF
11:00:29 BLOC_B_SERIE_DU_JOUR              7m57s      7m55s      -2s  ✅  Yahweh is Mighty (Imah Adegoke)
11:08:24 BLOC_B_SERIE_DU_JOUR              5m22s      5m19s      -3s  ✅  God's Got An Army - PHF
11:13:43 BLOC_B_SERIE_DU_JOUR              6m59s      6m57s      -2s  ✅  Hosanna - Toronto HF
11:20:40 BLOC_B_SERIE_DU_JOUR              6m15s      6m12s      -3s  ✅  Oh Lord I Want to Know Your Glory - Port Harcourt HF
11:26:52 BLOC_B_SERIE_DU_JOUR              9m31s      9m29s      -2s  ✅  15 at 01.33.50 (1)(1)
11:36:21 BLOC_B_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  JINGLE
11:36:30 BLOC_B_SERIE_DU_JOUR              3m07s      3m05s      -2s  ✅  Joël 1
11:39:35 BLOC_B_SERIE_DU_JOUR              5m41s      5m39s      -2s  ✅  Joël 2
11:45:14 BLOC_B_SERIE_DU_JOUR              3m36s      3m33s      -3s  ✅  Joël 3
11:48:47 BLOC_B_SERIE_DU_JOUR              4m36s      4m33s      -3s  ✅  Matthieu 8
11:53:20 BLOC_B_SERIE_DU_JOUR              5m20s      5m17s      -3s  ✅  Matthieu 9
11:58:37 BLOC_B_SERIE_DU_JOUR              0m12s      0m12s      +0s  ✅  jingle id station 03 notre mission annonce levangile
11:58:49 BLOC_B_SERIE_DU_JOUR              9m38s      9m36s      -2s  ✅  Holy are You oh Lord (Olaedo Uzoma & Vincent Opara)
12:08:25 BLOC_C_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant message 05 vous etes a lecoute de levangile du royaume
12:08:33 BLOC_C_SERIE_DU_JOUR              9m42s      9m40s      -2s  ✅  2020 tian le pardon 5
12:18:13 BLOC_C_SERIE_DU_JOUR              0m10s      0m07s      -3s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
12:18:20 BLOC_C_SERIE_DU_JOUR              5m42s      5m40s      -2s  ✅  Esdras 8
12:24:00 BLOC_C_SERIE_DU_JOUR              3m34s      3m32s      -2s  ✅  Esdras 9
12:27:32 BLOC_C_SERIE_DU_JOUR              6m21s      6m18s      -3s  ✅  Esdras 10
12:33:50 BLOC_C_SERIE_DU_JOUR              2m25s      2m23s      -2s  ✅  Cantique des Cantiques 1
12:36:13 BLOC_C_SERIE_DU_JOUR              2m32s      2m30s      -2s  ✅  Cantique des Cantiques 2
12:38:43 BLOC_C_SERIE_DU_JOUR              1m53s      1m51s      -2s  ✅  Cantique des Cantiques 3
12:40:34 BLOC_C_SERIE_DU_JOUR              2m50s      2m47s      -3s  ✅  Cantique des Cantiques 4
12:43:21 BLOC_C_SERIE_DU_JOUR              2m54s      2m51s      -3s  ✅  Cantique des Cantiques 5
12:46:12 BLOC_C_SERIE_DU_JOUR              2m06s      2m04s      -2s  ✅  Cantique des Cantiques 6
12:48:16 BLOC_C_SERIE_DU_JOUR              1m57s      1m55s      -2s  ✅  Cantique des Cantiques 7
12:50:11 BLOC_C_SERIE_DU_JOUR              2m29s      2m25s      -4s  ✅  Cantique des Cantiques 8
12:52:36 BLOC_C_SERIE_DU_JOUR              5m23s      5m21s      -2s  ✅  Ézéchiel 48
12:57:57 BLOC_C_SERIE_DU_JOUR              0m57s      0m54s      -3s  ✅  Osée 3
12:58:51 BLOC_C_SERIE_DU_JOUR              2m56s      2m54s      -2s  ✅  Osée 4
13:01:45 BLOC_C_SERIE_DU_JOUR              2m24s      2m21s      -3s  ✅  Osée 5
13:04:06 BLOC_C_SERIE_DU_JOUR              1m32s      1m30s      -2s  ✅  Osée 6
13:05:36 BLOC_C_SERIE_DU_JOUR              2m27s      2m24s      -3s  ✅  Osée 7
13:08:00 BLOC_C_SERIE_DU_JOUR              2m06s      2m03s      -3s  ✅  Osée 8
13:10:03 BLOC_C_SERIE_DU_JOUR              3m04s      3m02s      -2s  ✅  Osée 9
13:13:05 BLOC_C_SERIE_DU_JOUR              2m37s      2m34s      -3s  ✅  Osée 10
13:15:39 BLOC_C_SERIE_DU_JOUR              1m53s      1m51s      -2s  ✅  Osée 11
13:17:30 BLOC_C_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
