Rapport de diffusion — 2026-07-08 (heures UTC)
296 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:43 BLOC_A_SERIE_DU_JOUR              0m08s      1m44s     +96s  ⚠️ TROU APRÈS  jingle avant message 02 enseignement parole de dieu
15:39:58 BLOC_C_SERIE_DU_JOUR              5m02s      5m00s      -2s  ✅  A Song Of Love
15:44:58 BLOC_C_SERIE_DU_JOUR              6m57s      7m02s      +5s  ✅  qui est digne d ouvrir le livre
15:52:00 BLOC_C_SERIE_DU_JOUR              2m05s      2m03s      -2s  ✅  3 Jean 1
15:54:03 BLOC_C_SERIE_DU_JOUR              2m54s      2m51s      -3s  ✅  Malachie 1
15:56:54 BLOC_C_SERIE_DU_JOUR              3m17s      3m15s      -2s  ✅  Malachie 2
16:00:09 BLOC_C_SERIE_DU_JOUR              3m22s      3m18s      -4s  ✅  Malachie 3
16:03:27 BLOC_C_SERIE_DU_JOUR              1m05s      1m02s      -3s  ✅  Malachie 4
16:04:29 BLOC_C_SERIE_DU_JOUR              3m39s      3m37s      -2s  ✅  Ruth 1
16:08:06 BLOC_C_SERIE_DU_JOUR              4m14s      4m11s      -3s  ✅  Ruth 2
16:12:17 BLOC_C_SERIE_DU_JOUR              3m00s      2m58s      -2s  ✅  Ruth 3
16:15:15 BLOC_C_SERIE_DU_JOUR              3m43s      3m40s      -3s  ✅  Ruth 4
16:18:55 BLOC_C_SERIE_DU_JOUR              5m23s      5m21s      -2s  ✅  Jean 5
16:24:16 BLOC_C_SERIE_DU_JOUR              8m24s      8m21s      -3s  ✅  Jean 6
16:32:37 BLOC_C_SERIE_DU_JOUR              6m07s      6m05s      -2s  ✅  Jean 7
16:38:42 BLOC_C_SERIE_DU_JOUR              0m07s      0m08s      +1s  ✅  JINGLE
16:38:50 BLOC_C_SERIE_DU_JOUR              4m13s      4m10s      -3s  ✅  4 minutes
16:43:00 BLOC_C_SERIE_DU_JOUR              6m56s      6m54s      -2s  ✅  As We Worship In Ypur Presence
16:49:54 BLOC_C_SERIE_DU_JOUR              5m04s      5m01s      -3s  ✅  Guide Me - El ELyon - Abuja HF
16:54:55 BLOC_C_SERIE_DU_JOUR              4m40s      4m37s      -3s  ✅  All in All - CHF
16:59:32 BLOC_C_SERIE_DU_JOUR              4m11s      4m09s      -2s  ✅  jai donné ma vie à jésus (1)
17:03:41 BLOC_C_SERIE_DU_JOUR             10m47s     10m44s      -3s  ✅  Abba, Singing a, I Will Sing - Ketu HF
17:14:25 BLOC_C_SERIE_DU_JOUR              4m03s      4m01s      -2s  ✅  I Will Not Be Silent - Calabar HF
17:18:26 BLOC_C_SERIE_DU_JOUR              5m58s      5m55s      -3s  ✅  In Jesus - PHF
17:24:21 BLOC_C_SERIE_DU_JOUR              6m59s      6m56s      -3s  ✅  Hosanna - Toronto HF
17:31:17 BLOC_C_SERIE_DU_JOUR              7m19s      7m24s      +5s  ✅  You Have sworn By Your Holiness - Chidera Bisong
17:38:41 BLOC_C_SERIE_DU_JOUR              2m47s      2m45s      -2s  ✅  Lévitique 1
17:41:26 BLOC_C_SERIE_DU_JOUR              2m33s      2m30s      -3s  ✅  Lévitique 2
17:43:56 BLOC_C_SERIE_DU_JOUR              2m41s      2m38s      -3s  ✅  Lévitique 3
17:46:34 BLOC_C_SERIE_DU_JOUR              6m13s      6m10s      -3s  ✅  Lévitique 4
17:52:44 BLOC_C_SERIE_DU_JOUR              3m52s      3m50s      -2s  ✅  Lévitique 5
17:56:34 BLOC_C_SERIE_DU_JOUR              4m38s      4m36s      -2s  ✅  Lévitique 6
18:01:10 BLOC_D_SERIE_DU_JOUR              0m10s      0m10s      +0s  ✅  jingle avant message 01 voici le message du jour
18:01:20 BLOC_D_SERIE_DU_JOUR             25m04s     25m08s      +4s  ✅  pqe j8
18:26:28 BLOC_D_SERIE_DU_JOUR              4m15s      4m13s      -2s  ✅  Philippiens 1
18:30:41 BLOC_D_SERIE_DU_JOUR              4m28s      4m25s      -3s  ✅  Philippiens 2
18:35:06 BLOC_D_SERIE_DU_JOUR              3m26s      3m23s      -3s  ✅  Philippiens 3
18:38:29 BLOC_D_SERIE_DU_JOUR              3m39s      3m37s      -2s  ✅  Philippiens 4
18:42:06 BLOC_D_SERIE_DU_JOUR              4m25s      4m22s      -3s  ✅  1 Chroniques 5
18:46:28 BLOC_D_SERIE_DU_JOUR              8m29s      8m27s      -2s  ✅  1 Chroniques 6
18:54:55 BLOC_D_SERIE_DU_JOUR              5m47s      5m44s      -3s  ✅  1 Chroniques 7
