====================================================================================================
MONITEUR RADIO — 2026-08-02 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 75 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:27  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   05:59:59  🔇 bascule sur jingle d'erreur (silence potentiel)
   23:32:37  🌐 échec réseau AzuraCast/Liquidsoap  (×71)
RESET MINUIT : restart confirmé vers 00:02:04 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:33  TROU 93s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:27 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:54:44  COUPÉ 20s « For By My God - Toronto & Winnipeg HF »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-02 (heures UTC)
252 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
10:13:19 BLOC_B_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
10:13:30 BLOC_B_SERIE_DU_JOUR              4m35s      4m33s      -2s  ✅  Colossiens 1
10:18:03 BLOC_B_SERIE_DU_JOUR              3m46s      3m43s      -3s  ✅  Colossiens 2
10:21:46 BLOC_B_SERIE_DU_JOUR              3m44s      3m42s      -2s  ✅  Colossiens 3
10:25:28 BLOC_B_SERIE_DU_JOUR              2m56s      2m53s      -3s  ✅  Colossiens 4
10:28:21 BLOC_B_SERIE_DU_JOUR              5m09s      5m07s      -2s  ✅  Lamentations 1
10:33:28 BLOC_B_SERIE_DU_JOUR              5m15s      5m12s      -3s  ✅  Lamentations 2
10:38:40 BLOC_B_SERIE_DU_JOUR              6m02s      5m59s      -3s  ✅  Lamentations 3
10:44:39 BLOC_B_SERIE_DU_JOUR              3m56s      3m54s      -2s  ✅  Lamentations 4
10:48:33 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
10:48:41 BLOC_B_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  God is Moving Us On - Ketu HF
10:53:31 BLOC_B_SERIE_DU_JOUR              4m53s      4m50s      -3s  ✅  Cantique Jahweh, Tu es élevé au dessus de tout (1)
10:58:21 BLOC_B_SERIE_DU_JOUR              6m34s      6m31s      -3s  ✅  cantique  béni soit le dieu d israël
11:04:52 BLOC_B_SERIE_DU_JOUR              6m56s      6m53s      -3s  ✅  As We Worship In Ypur Presence
11:11:45 BLOC_B_SERIE_DU_JOUR              7m19s      7m17s      -2s  ✅  You Have sworn By Your Holiness - Chidera Bisong
11:19:02 BLOC_B_SERIE_DU_JOUR              4m14s      4m11s      -3s  ✅  Mon modèle, c est Jésus
11:23:13 BLOC_B_SERIE_DU_JOUR              7m20s      7m18s      -2s  ✅  The Glory -  PHF
11:30:31 BLOC_B_SERIE_DU_JOUR              6m02s      6m00s      -2s  ✅  Satisfy My Soul - Calabar HF
11:36:31 BLOC_B_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  jingle id station 02 radio evangile du royaume
11:36:41 BLOC_B_SERIE_DU_JOUR              3m26s      3m23s      -3s  ✅  Abdias 1
11:40:04 BLOC_B_SERIE_DU_JOUR              2m43s      2m41s      -2s  ✅  Tite 1
11:42:45 BLOC_B_SERIE_DU_JOUR              2m10s      2m07s      -3s  ✅  Tite 2
11:44:52 BLOC_B_SERIE_DU_JOUR              2m22s      2m20s      -2s  ✅  Tite 3
11:47:12 BLOC_B_SERIE_DU_JOUR              2m16s      2m13s      -3s  ✅  Hébreux 1
11:49:25 BLOC_B_SERIE_DU_JOUR              3m13s      3m10s      -3s  ✅  Hébreux 2
11:52:35 BLOC_B_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  JINGLE
11:52:45 BLOC_B_SERIE_DU_JOUR              6m12s      6m10s      -2s  ✅  Praise the Lord All Ye Nations - Toronto HF
11:58:55 BLOC_B_SERIE_DU_JOUR              3m41s      3m38s      -3s  ✅  Adorons l'Éternel GAEL - JÉSUS EST SEIGNEUR -
12:02:33 BLOC_C_SERIE_DU_JOUR              0m10s      0m11s      +1s  ✅  jingle avant message 01 voici le message du jour
12:02:44 BLOC_C_SERIE_DU_JOUR           1h19m00s   1h18m57s      -3s  ✅  part2
13:21:41 BLOC_C_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
13:21:52 BLOC_C_SERIE_DU_JOUR              3m16s      3m13s      -3s  ✅  1 Timothée 1
13:25:05 BLOC_C_SERIE_DU_JOUR              2m10s      2m07s      -3s  ✅  1 Timothée 2
13:27:12 BLOC_C_SERIE_DU_JOUR              2m24s      2m22s      -2s  ✅  1 Timothée 3
13:29:34 BLOC_C_SERIE_DU_JOUR              2m29s      2m26s      -3s  ✅  1 Timothée 4
13:32:00 BLOC_C_SERIE_DU_JOUR              3m45s      3m43s      -2s  ✅  1 Timothée 5
13:35:43 BLOC_C_SERIE_DU_JOUR              3m53s      3m50s      -3s  ✅  1 Timothée 6
13:39:33 BLOC_C_SERIE_DU_JOUR              2m50s      2m47s      -3s  ✅  Genèse 13
13:42:20 BLOC_C_SERIE_DU_JOUR              4m09s      4m06s      -3s  ✅  Genèse 14
13:46:26 BLOC_C_SERIE_DU_JOUR              3m26s      3m24s      -2s  ✅  Genèse 15
13:49:50 BLOC_C_SERIE_DU_JOUR              2m47s      2m45s      -2s  ✅  Genèse 16
13:52:35 BLOC_C_SERIE_DU_JOUR              4m16s      4m13s      -3s  ✅  Genèse 17
13:56:48 BLOC_C_SERIE_DU_JOUR              5m42s      5m40s      -2s  ✅  Genèse 18
14:02:28 BLOC_C_SERIE_DU_JOUR              6m33s      6m30s      -3s  ✅  Genèse 19
14:08:58 BLOC_C_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant louange 07 voici un temps de louange
14:09:09 BLOC_C_SERIE_DU_JOUR              4m21s      4m18s      -3s  ✅  Sing Hallelujah - Abuja HF
14:13:27 BLOC_C_SERIE_DU_JOUR              4m11s      4m09s      -2s  ✅  Cantique   Oh Éternel Dieu, Tu es le Dieu Incomparable
14:17:36 BLOC_C_SERIE_DU_JOUR              3m19s      3m16s      -3s  ✅  Awaken My Heart
14:20:52 BLOC_C_SERIE_DU_JOUR              7m21s      7m18s      -3s  ✅  For By My God - Toronto & Winnipeg HF
14:28:10 BLOC_C_SERIE_DU_JOUR              5m21s      5m19s      -2s  ✅  By the word of the lord - Ketu HF
14:33:29 BLOC_C_SERIE_DU_JOUR              5m45s      5m43s      -2s  ✅  Ella Samuels - Oh Lord Our Maker
14:39:12 BLOC_C_SERIE_DU_JOUR              9m31s      9m27s      -4s  ✅  15 at 01.33.50 (1)(1)
14:48:39 BLOC_C_SERIE_DU_JOUR              5m43s      5m41s      -2s  ✅  Cantique l Éternel est mon Berger (1)
14:54:20 BLOC_C_SERIE_DU_JOUR             10m47s     10m44s      -3s  ✅  Abba, Singing a, I Will Sing - Ketu HF
15:05:04 BLOC_C_SERIE_DU_JOUR              0m10s      0m09s      -1s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
15:05:13 BLOC_C_SERIE_DU_JOUR              3m22s      3m19s      -3s  ✅  Apocalypse 12
15:08:32 BLOC_C_SERIE_DU_JOUR              3m32s      3m29s      -3s  ✅  Apocalypse 13
15:12:01 BLOC_C_SERIE_DU_JOUR              4m26s      4m23s      -3s  ✅  Apocalypse 14
15:16:24 BLOC_C_SERIE_DU_JOUR              1m38s      1m36s      -2s  ✅  Apocalypse 15
15:18:00 BLOC_C_SERIE_DU_JOUR              3m30s      3m27s      -3s  ✅  Apocalypse 16
15:21:27 BLOC_C_SERIE_DU_JOUR              3m45s      3m43s      -2s  ✅  Apocalypse 17
15:25:10 BLOC_C_SERIE_DU_JOUR              5m15s      5m20s      +5s  ✅  Apocalypse 18
15:30:30 BLOC_C_SERIE_DU_JOUR              7m37s      7m34s      -3s  ✅  Cantiques  Il a pris mes iniquités
