====================================================================================================
MONITEUR RADIO — 2026-08-10 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 1 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 147 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:29  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:29  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:37  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:32:22  🌐 échec réseau AzuraCast/Liquidsoap  (×140)
RESET MINUIT : restart confirmé vers 00:02:11 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:43  TROU 100s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:37 : 🔇 bascule sur jingle d'erreur (silence potentiel)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-10 (heures UTC)
300 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
10:05:46 BLOC_B_SERIE_DU_JOUR              3m20s      3m18s      -2s  ✅  Josué 1
10:09:04 BLOC_B_SERIE_DU_JOUR              4m14s      4m12s      -2s  ✅  Josué 2
10:13:16 BLOC_B_SERIE_DU_JOUR              3m11s      3m08s      -3s  ✅  Josué 3
10:16:24 BLOC_B_SERIE_DU_JOUR              3m45s      3m43s      -2s  ✅  Josué 4
10:20:07 BLOC_B_SERIE_DU_JOUR              2m57s      2m53s      -4s  ✅  Josué 5
10:23:00 BLOC_B_SERIE_DU_JOUR              5m15s      5m13s      -2s  ✅  Josué 6
10:28:13 BLOC_B_SERIE_DU_JOUR              5m22s      5m19s      -3s  ✅  Josué 7
10:33:32 BLOC_B_SERIE_DU_JOUR              6m27s      6m24s      -3s  ✅  Josué 8
10:39:56 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
10:40:04 BLOC_B_SERIE_DU_JOUR             10m25s     10m23s      -2s  ✅  Holy Are You - PHF
10:50:27 BLOC_B_SERIE_DU_JOUR              8m22s      8m20s      -2s  ✅  Yeshua Hamashiach - Calabar HF
10:58:47 BLOC_B_SERIE_DU_JOUR              4m21s      4m18s      -3s  ✅  Sing Hallelujah - Abuja HF
11:03:05 BLOC_B_SERIE_DU_JOUR              6m56s      6m54s      -2s  ✅  As We Worship In Ypur Presence
11:09:59 BLOC_B_SERIE_DU_JOUR              9m38s      9m35s      -3s  ✅  Holy are You oh Lord (Olaedo Uzoma & Vincent Opara)
11:19:34 BLOC_B_SERIE_DU_JOUR              3m22s      3m19s      -3s  ✅  Ses cheveux étaient blancs..
11:22:53 BLOC_B_SERIE_DU_JOUR              7m25s      7m23s      -2s  ✅  Victorious Is the Lamb - Winnipeg Fellowship
11:30:16 BLOC_B_SERIE_DU_JOUR              5m43s      5m40s      -3s  ✅  Cantique l Éternel est mon Berger (1)
11:35:56 BLOC_B_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  JINGLE
11:36:06 BLOC_B_SERIE_DU_JOUR              5m55s      5m52s      -3s  ✅  Genèse 37
11:41:58 BLOC_B_SERIE_DU_JOUR              5m09s      5m06s      -3s  ✅  Genèse 38
11:47:04 BLOC_B_SERIE_DU_JOUR              3m56s      3m54s      -2s  ✅  Genèse 39
11:50:58 BLOC_B_SERIE_DU_JOUR              3m50s      3m48s      -2s  ✅  Genèse 40
11:54:46 BLOC_B_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  jingle id station 01 la bonne nouvelle partout
11:54:55 BLOC_B_SERIE_DU_JOUR              7m46s      7m44s      -2s  ✅  Arise Out of Zion  - Winnipeg Fellowship
12:02:39 BLOC_C_SERIE_DU_JOUR              0m10s      0m10s      +0s  ✅  jingle avant message 01 voici le message du jour
12:02:49 BLOC_C_SERIE_DU_JOUR             26m50s     26m49s      -1s  ✅  la moisson 1 adé
12:29:38 BLOC_C_SERIE_DU_JOUR              0m09s      0m06s      -3s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
