====================================================================================================
MONITEUR RADIO — 2026-08-18 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 262 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:18  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:23  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:31:59  🌐 échec réseau AzuraCast/Liquidsoap  (×257)
RESET MINUIT : restart confirmé vers 00:02:00 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:29  TROU 92s « jingle avant message 03 vous ecoutez parole prophetique fm »
          ↳ cause probable 00:01:23 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:55:21  COUPÉ 54s « Hosanna - Toronto HF »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-18 (heures UTC)
264 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
15:23:31 BLOC_C_SERIE_DU_JOUR              7m18s      7m16s      -2s  ✅  Holy is the Lord (Emmanuel Umoh)
15:30:47 BLOC_C_SERIE_DU_JOUR              5m58s      5m55s      -3s  ✅  In Jesus - PHF
15:36:42 BLOC_C_SERIE_DU_JOUR              3m10s      3m07s      -3s  ✅  la Parole
15:39:49 BLOC_C_SERIE_DU_JOUR              5m45s      5m42s      -3s  ✅  How Precious Oh Lord
15:45:31 BLOC_C_SERIE_DU_JOUR              6m56s      6m54s      -2s  ✅  As We Worship In Ypur Presence
15:52:25 BLOC_C_SERIE_DU_JOUR              7m20s      7m17s      -3s  ✅  The Glory -  PHF
15:59:42 BLOC_C_SERIE_DU_JOUR              7m29s      7m27s      -2s  ✅  Hallelujah - PHF
16:07:09 BLOC_C_SERIE_DU_JOUR              9m14s      9m11s      -3s  ✅  A jamais, tu seras l Agneau de Dieu
16:16:20 BLOC_C_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
16:16:28 BLOC_C_SERIE_DU_JOUR              5m23s      5m21s      -2s  ✅  Jean 5
16:21:49 BLOC_C_SERIE_DU_JOUR              8m24s      8m22s      -2s  ✅  Jean 6
16:30:11 BLOC_C_SERIE_DU_JOUR              6m07s      6m04s      -3s  ✅  Jean 7
16:36:15 BLOC_C_SERIE_DU_JOUR              7m26s      7m24s      -2s  ✅  Jean 8
16:43:39 BLOC_C_SERIE_DU_JOUR              4m54s      4m51s      -3s  ✅  Jean 9
16:48:30 BLOC_C_SERIE_DU_JOUR              4m36s      4m33s      -3s  ✅  Jean 10
16:53:03 BLOC_C_SERIE_DU_JOUR              0m10s      0m09s      -1s  ✅  jingle avant louange 06 que la louange seleve
16:53:12 BLOC_C_SERIE_DU_JOUR              9m43s      9m40s      -3s  ✅  Thy Throne Oh Lord - Ketu HF
