Rapport de diffusion — 2026-06-05 (heures UTC)
208 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
22:19:12 BLOC_D_SERIE_DU_JOUR              7m17s      7m17s      +0s  ✅  cantique  tes promesses  pub direct dec 2021 import (2)
22:26:29 BLOC_D_SERIE_DU_JOUR             29m09s      0m42s   -1707s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
22:27:11 BLOC_D_SERIE_DU_JOUR              3m26s      3m24s      -2s  ✅  Abdias
22:30:35 BLOC_D_SERIE_DU_JOUR              5m21s      5m18s      -3s  ✅  Exode 7
22:35:53 BLOC_D_SERIE_DU_JOUR              6m57s      6m55s      -2s  ✅  Exode 8
22:42:48 BLOC_D_SERIE_DU_JOUR              2m21s     27m02s   +1481s  ⚠️ TROU APRÈS  Ecclesiaste
23:09:50 BLOC_D_SERIE_DU_JOUR              1m30s      1m28s      -2s  ✅  Lévitique 12
23:11:18 BLOC_D_SERIE_DU_JOUR              8m31s      8m30s      -1s  ✅  Lévitique 14
23:19:48 BLOC_D_SERIE_DU_JOUR             29m09s      0m30s   -1719s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
23:20:18 BLOC_D_SERIE_DU_JOUR              6m41s      6m38s      -3s  ✅  6 minutes
23:26:56 BLOC_D_SERIE_DU_JOUR              5m13s      5m11s      -2s  ✅  Il s'appelait Emmanuel - Marcel Boungou + Paroles
23:32:07 BLOC_D_SERIE_DU_JOUR              0m07s      0m07s      +0s  ✅  Parole Prophétique FM
23:32:14 BLOC_D_SERIE_DU_JOUR             29m09s      0m56s   -1693s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
23:33:10 BLOC_D_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  cantique   prends tout le contrôle
23:38:00 BLOC_D_SERIE_DU_JOUR              3m41s      3m39s      -2s  ✅  Adorons l'Éternel GAEL - JÉSUS EST SEIGNEUR -
23:41:39 BLOC_D_SERIE_DU_JOUR              6m35s      6m33s      -2s  ✅  cantique   ta lumière
23:48:12 BLOC_D_SERIE_DU_JOUR              4m11s      4m08s      -3s  ✅  jai donné ma vie à jésus (1)
23:52:20 BLOC_D_SERIE_DU_JOUR              3m22s      3m19s      -3s  ✅  Ses cheveux étaient blancs..
23:55:39 BLOC_D_SERIE_DU_JOUR              6m09s          ?           ⏳ dernier titre (durée réelle inconnue)  Hymne des vainqueurs
----------------------------------------------------------------------------------------------------
Bilan : 208 titres, 102 anomalie(s) (titre coupé de plus de 10s ou trou d'antenne).
