Rapport de diffusion — 2026-07-21 (heures UTC)
296 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
12:24:12 BLOC_C_SERIE_DU_JOUR              7m25s      7m22s      -3s  ✅  Victorious Is the Lamb - Winnipeg Fellowship
12:31:34 BLOC_C_SERIE_DU_JOUR              9m23s      9m31s      +8s  ✅  10 minutes
12:41:05 BLOC_C_SERIE_DU_JOUR              3m00s      2m57s      -3s  ✅  Jonas 1
12:44:02 BLOC_C_SERIE_DU_JOUR              1m22s      1m20s      -2s  ✅  Jonas 2
12:45:22 BLOC_C_SERIE_DU_JOUR              1m36s      1m33s      -3s  ✅  Jonas 3
12:46:55 BLOC_C_SERIE_DU_JOUR              1m57s      1m55s      -2s  ✅  Jonas 4
12:48:50 BLOC_C_SERIE_DU_JOUR              3m57s      3m54s      -3s  ✅  Apocalypse 1
12:52:44 BLOC_C_SERIE_DU_JOUR              5m23s      5m21s      -2s  ✅  Apocalypse 2
12:58:05 BLOC_C_SERIE_DU_JOUR              4m16s      4m13s      -3s  ✅  Apocalypse 3
13:02:18 BLOC_C_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  jingle id station 01 la bonne nouvelle partout
13:02:27 BLOC_C_SERIE_DU_JOUR              5m33s      5m31s      -2s  ✅  He Shall Feed His Flock - I Want to walk  - Ketu HF
13:07:58 BLOC_C_SERIE_DU_JOUR              9m43s      9m40s      -3s  ✅  Thy Throne Oh Lord - Ketu HF
13:17:38 BLOC_C_SERIE_DU_JOUR              4m20s      4m18s      -2s  ✅  There's A Mighty River Flowing - SWBN TV
13:21:56 BLOC_C_SERIE_DU_JOUR              5m18s      5m23s      +5s  ✅  Now is Come Salvation - Toronto HF
13:27:19 BLOC_C_SERIE_DU_JOUR             13m48s     13m45s      -3s  ✅  2020 tian le pardon 8
13:41:04 BLOC_C_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
13:41:15 BLOC_C_SERIE_DU_JOUR              3m39s      3m36s      -3s  ✅  Ruth 1
